ダウンロードした時刻：2019/08/12 21:03:28

,,,酒田,酒田,酒田
年,月,日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,
,,,,,
1994,9,17,27.5,32.0,24.9
1994,9,18,26.6,31.6,21.9
1994,9,19,23.3,27.7,19.5
1994,9,20,22.8,26.8,19.3
1994,9,21,19.8,24.0,16.5
1994,9,22,20.2,25.9,16.1
1994,9,23,20.2,25.6,16.8
1994,9,24,20.8,24.9,17.0
1994,9,25,19.1,23.0,16.1
1994,9,26,20.4,24.9,15.2
1994,9,27,18.6,21.9,16.5
1994,9,28,18.6,21.0,15.8
1994,9,29,21.5,24.2,18.6
1994,9,30,24.2,27.0,21.3
1995,7,1,21.6,23.9,20.0
1995,7,2,23.1,28.7,19.2
1995,7,3,21.3,23.0,19.6
1995,7,4,21.8,26.3,19.7
1995,7,5,21.5,24.8,19.2
1995,7,6,21.9,25.6,18.2
1995,7,7,22.5,25.7,20.4
1995,7,8,22.3,26.5,19.2
1995,7,9,21.4,23.1,19.9
1995,7,10,23.4,25.5,22.2
1995,7,11,22.4,23.6,21.7
1995,7,12,23.4,26.1,21.9
1995,7,13,23.9,25.9,22.7
1995,7,14,22.0,24.0,20.0
1995,7,15,21.4,23.9,19.3
1995,7,16,20.0,22.4,18.4
1995,7,17,20.2,23.2,19.0
1995,7,18,20.9,23.7,19.2
1995,7,19,21.6,25.8,18.2
1995,7,20,20.2,21.4,19.0
1995,7,21,20.2,21.7,19.2
1995,7,22,22.7,26.5,19.7
1995,7,23,25.0,29.7,21.8
1995,7,24,28.5,33.9,22.9
1995,7,25,25.3,27.3,24.2
1995,7,26,25.9,28.8,23.0
1995,7,27,25.9,30.4,21.6
1995,7,28,25.2,29.8,20.4
1995,7,29,26.1,32.4,20.5
1995,7,30,26.8,32.3,20.5
1995,7,31,26.8,30.8,23.4
1995,8,1,25.8,27.1,24.9
1995,8,2,25.4,28.1,23.5
1995,8,3,25.2,28.4,22.7
1995,8,4,22.5,23.4,21.9
1995,8,5,24.7,29.5,21.7
1995,8,6,25.3,27.3,23.3
1995,8,7,25.6,28.2,22.8
1995,8,8,27.8,31.1,24.6
1995,8,9,27.6,32.6,22.9
1995,8,10,24.7,27.3,22.5
1995,8,11,23.0,26.3,20.2
1995,8,12,23.2,27.0,19.9
1995,8,13,25.4,30.2,19.5
1995,8,14,27.8,33.3,23.3
1995,8,15,27.3,31.3,24.9
1995,8,16,24.6,29.2,21.2
1995,8,17,22.7,26.5,18.0
1995,8,18,25.6,31.6,17.8
1995,8,19,28.0,31.3,25.7
1995,8,20,28.0,32.8,23.2
1995,8,21,25.7,29.2,23.1
1995,8,22,25.6,29.7,22.5
1995,8,23,26.3,31.0,22.0
1995,8,24,28.1,33.1,23.9
1995,8,25,27.8,32.7,23.4
1995,8,26,26.6,29.4,23.7
1995,8,27,24.8,26.6,23.6
1995,8,28,24.4,27.2,20.1
1995,8,29,21.8,26.1,17.4
1995,8,30,22.2,26.8,16.2
1995,8,31,22.5,24.1,20.7
1995,9,1,24.0,27.1,20.1
1995,9,2,22.7,27.0,18.3
1995,9,3,24.0,27.4,20.8
1995,9,4,22.7,26.5,17.4
1995,9,5,20.7,24.3,17.0
1995,9,6,19.2,21.7,17.7
1995,9,7,21.5,24.5,18.0
1995,9,8,20.1,24.4,15.5
1995,9,9,19.6,23.7,14.9
1995,9,10,21.4,25.5,18.3
1995,9,11,21.0,22.7,19.4
1995,9,12,21.1,24.6,14.9
1995,9,13,19.7,25.7,12.8
1995,9,14,17.7,19.4,16.0
1995,9,15,19.1,24.6,15.2
1995,9,16,17.0,20.2,13.6
1995,9,17,16.1,18.1,14.7
1995,9,18,17.9,22.0,13.0
1995,9,19,17.1,22.7,11.8
1995,9,20,17.2,22.9,11.7
1995,9,21,17.3,23.0,12.0
1995,9,22,18.6,24.6,12.1
1995,9,23,20.6,26.3,16.5
1995,9,24,22.4,25.7,19.4
1995,9,25,20.6,23.9,17.5
1995,9,26,21.0,25.7,17.4
1995,9,27,21.0,27.0,17.8
1995,9,28,20.3,23.0,14.6
1995,9,29,18.0,25.2,13.6
1995,9,30,18.3,23.5,14.4
1996,7,1,22.6,27.5,18.0
1996,7,2,23.4,28.4,19.3
1996,7,3,19.6,22.0,16.9
1996,7,4,17.7,20.5,15.4
1996,7,5,18.9,23.2,14.5
1996,7,6,17.5,21.1,16.7
1996,7,7,20.4,25.0,15.6
1996,7,8,19.8,21.4,18.2
1996,7,9,21.9,25.8,17.9
1996,7,10,23.1,27.8,19.0
1996,7,11,20.5,23.6,18.7
1996,7,12,19.2,21.2,18.0
1996,7,13,20.9,24.4,18.2
1996,7,14,21.7,24.0,19.1
