ダウンロードした時刻：2019/02/27 17:44:22

集計開始,,,集計終了,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,年,月,日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最高気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),日最低気温の平均(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,,,,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(cm),平年値(cm),平年値(cm)
,,,,,,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報,,現象なし情報,品質情報
1976,3,1,1976,3,10,13.2,8,,0,3.8,8,3.2,8,8.6,8,6.5,8,-1.2,8,-0.1,8,-2.9,8,,0,4.0,0,8,34.4,0,8,,,1,,,1,0,1,8,10,0,8
1976,3,11,1976,3,20,14.8,8,,0,4.6,8,4.8,8,8.7,8,8.5,8,0.1,8,1.1,8,-2.8,8,,0,17.0,0,8,36.6,0,8,,,1,,,1,1,0,8,5,0,8
1976,3,21,1976,3,31,9.3,8,,0,3.6,8,5.9,8,6.8,8,9.9,8,-0.9,8,1.9,8,-5.4,8,,0,43.5,0,8,35.7,0,8,,,1,,,1,2,0,8,2,0,8
1977,1,1,1977,1,10,5.0,8,,0,-0.7,8,2.3,8,1.4,8,5.0,8,-3.7,8,-0.3,8,-5.4,8,,0,26.0,0,8,65.6,0,8,,,1,,,1,20,0,8,13,0,8
1977,1,11,1977,1,20,4.0,8,,0,-1.5,8,1.5,8,0.6,8,4.1,8,-4.6,8,-1.2,8,-12.7,8,,0,18.5,0,8,48.8,0,8,,,1,,,1,27,0,8,17,0,8
1977,1,21,1977,1,31,6.2,8,,0,-1.7,8,1.2,8,1.1,8,3.8,8,-4.9,8,-1.4,8,-8.6,8,,0,56.5,0,8,53.7,0,8,,,1,,,1,31,0,8,22,0,8
1977,2,1,1977,2,10,3.2,8,,0,-1.4,8,1.4,8,0.9,8,4.0,8,-4.4,8,-1.4,8,-6.9,8,,0,55.5,0,8,41.7,0,8,,,1,,,1,52,0,8,22,0,8
1977,2,11,1977,2,20,6.0,8,,0,0.0,8,1.8,8,2.5,8,4.6,8,-3.5,8,-1.1,8,-8.1,8,,0,52.5,0,8,42.2,0,8,,,1,,,1,51,0,8,17,0,8
1977,2,21,1977,2,28,11.4,8,,0,2.7,8,2.6,8,6.6,8,5.9,8,-2.1,8,-0.6,8,-7.7,8,,0,30.0,0,8,30.2,0,8,,,1,,,1,40,0,8,13,0,8
1977,3,1,1977,3,10,15.0,8,,0,1.7,8,3.2,8,6.0,8,6.5,8,-2.3,8,-0.1,8,-7.4,8,,0,28.5,0,8,34.4,0,8,,,1,,,1,8,0,8,10,0,8
1977,3,11,1977,3,20,14.8,8,,0,6.0,8,4.8,8,10.0,8,8.5,8,1.3,8,1.1,8,-3.2,8,,0,21.0,0,8,36.6,0,8,,,1,,,1,0,1,8,5,0,8
1977,3,21,1977,3,31,14.5,8,,0,5.3,8,5.9,8,9.3,8,9.9,8,0.9,8,1.9,8,-3.1,8,,0,47.5,0,8,35.7,0,8,,,1,,,1,0,1,8,2,0,8
1978,1,1,1978,1,10,8.1,8,,0,1.5,8,2.3,8,4.0,8,5.0,8,-1.4,8,-0.3,8,-3.4,8,,0,89.5,0,8,65.6,0,8,,,1,,,1,36,0,8,13,0,8
1978,1,11,1978,1,20,10.4,8,,0,2.9,8,1.5,8,5.8,8,4.1,8,-1.0,8,-1.2,8,-3.6,8,,0,26.0,0,8,48.8,0,8,,,1,,,1,20,0,8,17,0,8
1978,1,21,1978,1,31,6.8,8,,0,0.1,8,1.2,8,2.9,8,3.8,8,-2.6,8,-1.4,8,-6.1,8,,0,48.0,0,8,53.7,0,8,,,1,,,1,11,0,8,22,0,8
1978,2,1,1978,2,10,3.5,8,,0,-0.7,8,1.4,8,1.0,8,4.0,8,-3.0,8,-1.4,8,-5.9,8,,0,42.0,0,8,41.7,0,8,,,1,,,1,22,0,8,22,0,8
