ダウンロードした時刻：2019/02/27 13:55:57

,,,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年,月,日,平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最深積雪(cm),最深積雪(cm),最深積雪(cm),最深積雪(cm)
,,,,平年値(℃),,平年値(℃),,平年値(℃),,,平年値(mm),平年値(mm),,,平年値(時間),平年値(時間),,,平年値(cm),平年値(cm)
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報
2019,2,8,-2.1,1.5,-3.4,-1.3,0.4,4.2,1.0,0,4.2,,0.4,0,1.7,,2,0,13,
2019,2,9,-0.5,1.6,-2.0,-1.2,1.0,4.3,0.5,0,4.2,,0.0,0,1.7,,1,0,12,
2019,2,10,-0.7,1.6,-2.9,-1.2,1.3,4.4,4.0,0,4.2,,0.6,0,1.8,,6,0,12,
2019,2,11,1.3,1.7,-0.9,-1.1,3.8,4.4,3.5,0,4.2,,4.8,0,1.8,,7,0,11,
2019,2,12,0.3,1.7,-1.0,-1.1,1.6,4.5,3.0,0,4.2,,0.9,0,1.8,,10,0,11,
2019,2,13,-0.1,1.7,-1.4,-1.1,0.7,4.6,1.0,0,4.2,,1.6,0,1.9,,10,0,11,
2019,2,14,0.0,1.8,-2.0,-1.1,1.5,4.6,0.5,0,4.1,,1.7,0,1.9,,7,0,10,
2019,2,15,1.5,1.8,-0.6,-1.0,3.3,4.7,0.0,0,4.1,,0.0,0,2.0,,6,0,10,
2019,2,16,3.4,1.9,-0.3,-1.0,6.4,4.8,2.5,0,4.1,,3.0,0,2.1,,4,0,10,
2019,2,17,3.6,1.9,1.7,-1.0,5.1,4.9,0.5,0,4.0,,0.1,0,2.1,,2,0,9,
2019,2,18,5.4,2.0,1.5,-1.0,8.8,5.0,0.5,0,4.0,,7.3,0,2.2,,0,1,9,
2019,2,19,5.1,2.1,1.3,-0.9,10.4,5.1,7.0,0,3.9,,0.1,0,2.3,,0,1,9,
2019,2,20,7.1,2.1,4.7,-0.9,10.9,5.2,16.5,0,3.9,,0.4,0,2.4,,0,1,8,
2019,2,21,5.9,2.2,4.6,-0.8,7.2,5.3,4.0,0,3.8,,0.1,0,2.5,,0,1,8,
2019,2,22,6.1,2.3,3.2,-0.8,9.0,5.4,0,1,3.7,,2.9,0,2.6,,0,1,8,
2019,2,23,4.4,2.4,0.3,-0.7,7.6,5.6,0,1,3.7,,6.8,0,2.6,,0,1,8,
2019,2,24,4.7,2.5,-0.2,-0.6,9.5,5.7,0,1,3.6,,7.8,0,2.7,,0,1,7,
2019,2,25,5.9,2.6,0.2,-0.6,13.1,5.8,0.0,0,3.6,,3.3,0,2.8,,0,1,7,
2019,2,26,4.7,2.7,1.1,-0.5,7.6,5.9,0,1,3.5,,6.6,0,2.8,,0,1,7,
