ダウンロードした時刻：2025/08/04 21:50:48

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),最高気温(℃),最高気温(℃),最高気温(℃),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日),日最高気温35℃以上日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2012,8,35.8,8,1,1,8,1,37.2,8,1,10,8,1,32.7,8,3,0,8,3,32.9,8,1,0,8,1,33.1,8,3,0,8,3
2012,9,35.8,8,1,2,8,1,35.0,8,1,1,8,1,36.1,8,3,1,8,3,31.6,8,1,0,8,1,33.1,8,3,0,8,3
2013,6,34.2,8,1,0,8,1,32.5,8,1,0,8,1,29.4,8,3,0,8,3,29.2,8,1,0,8,1,32.0,8,3,0,8,3
2013,7,31.8,8,1,0,8,1,33.3,8,1,0,8,1,31.9,8,3,0,8,3,33.1,8,1,0,8,1,30.6,5,3,0,5,3
2013,8,34.0,8,1,0,8,1,36.2,8,1,5,8,1,34.2,8,3,0,8,3,31.7,8,1,0,8,1,32.2,4,3,0,4,3
2013,9,33.5,8,1,0,8,1,32.8,8,1,0,8,1,34.1,8,3,0,8,3,28.6,8,1,0,8,1,30.6,8,3,0,8,3
2014,6,32.0,8,1,0,8,1,33.0,8,1,0,8,1,29.7,8,3,0,8,3,33.7,8,1,0,8,1,28.7,8,3,0,8,3
2014,7,35.3,8,1,1,8,1,37.5,8,1,1,8,1,31.3,8,3,0,8,3,32.4,8,1,0,8,1,31.9,8,3,0,8,3
2014,8,34.0,8,1,0,8,1,36.2,8,1,6,8,1,32.5,8,3,0,8,3,31.7,8,1,0,8,1,32.2,8,3,0,8,3
2014,9,29.6,8,1,0,8,1,29.7,8,1,0,8,1,28.4,8,3,0,8,3,27.5,8,1,0,8,1,27.4,8,3,0,8,3
2015,6,29.0,8,1,0,8,1,31.5,8,1,0,8,1,28.7,8,3,0,8,3,27.8,8,1,0,8,1,26.3,8,3,0,8,3
2015,7,37.7,8,1,1,8,1,37.9,8,1,5,8,1,34.1,8,3,0,8,3,31.3,8,1,0,8,1,34.0,8,3,0,8,3
2015,8,34.1,8,1,0,8,1,36.7,8,1,7,8,1,31.5,8,3,0,8,3,34.5,8,1,0,8,1,32.9,8,3,0,8,3
2015,9,28.7,8,1,0,8,1,31.8,8,1,0,8,1,26.7,8,3,0,8,3,27.0,8,1,0,8,1,26.7,8,3,0,8,3
2016,6,30.4,8,1,0,8,1,31.1,8,1,0,8,1,28.5,8,3,0,8,3,28.4,8,1,0,8,1,28.6,5,3,0,5,3
2016,7,33.5,8,1,0,8,1,33.2,8,1,0,8,1,30.5,8,3,0,8,3,30.5,8,1,0,8,1,32.0,8,3,0,8,3
2016,8,37.3,8,1,2,8,1,35.9,8,1,2,8,1,34.2,8,3,0,8,3,31.9,8,1,0,8,1,33.9,5,3,0,5,3
2016,9,34.7,8,1,0,8,1,33.7,8,1,0,8,1,32.1,8,3,0,8,3,31.1,8,1,0,8,1,31.7,8,3,0,8,3
