ダウンロードした時刻：2025/08/04 21:50:04

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1989,1,-4.4,8,1,0,8,1,-6.6,8,1,1,8,1,-3.8,8,1,0,8,1,-10.4,8,1,12,8,1,-4.2,8,1,0,8,1
1989,2,-2.9,8,1,1,8,1,-5.6,8,1,1,8,1,-2.0,8,1,1,8,1,-10.1,8,1,4,8,1,-3.8,8,1,1,8,1
1989,3,-1.2,8,1,0,8,1,-2.8,8,1,0,8,1,-0.2,8,1,0,8,1,-4.7,8,1,0,8,1,-0.1,8,1,0,8,1
1989,11,0.4,8,1,0,8,1,0.3,8,1,0,8,1,0.6,8,1,0,8,1,-1.6,8,1,0,8,1,1.8,8,1,0,8,1
1989,12,-2.4,8,1,0,8,1,-3.2,8,1,1,8,1,-2.1,8,1,1,8,1,-9.7,8,1,5,8,1,-2.3,8,1,0,8,1
1990,1,-8.1,8,1,8,8,1,-9.1,8,1,10,8,1,-6.3,8,1,7,8,1,-15.6,8,1,21,8,1,-5.8,8,1,6,8,1
1990,2,-5.8,8,1,0,8,1,-9.4,8,1,1,8,1,-2.6,8,1,0,8,1,-9.8,8,1,6,8,1,-1.3,8,1,0,8,1
1990,3,-2.4,8,1,0,8,1,-3.5,8,1,0,8,1,-2.2,5,1,0,5,1,-3.7,8,1,0,8,1,0.0,5,1,0,8,1
1990,11,2.1,8,1,0,8,1,0.0,8,1,0,8,1,3.5,8,1,0,8,1,-2.7,8,1,0,8,1,3.2,8,1,0,8,1
1990,12,-0.1,8,1,0,8,1,-2.3,8,1,0,8,1,0.0,8,1,0,8,1,-7.3,8,1,2,8,1,0.6,8,1,0,8,1
1991,1,-4.0,8,1,0,8,1,-7.7,8,1,0,8,1,-2.8,8,1,0,8,1,-7.2,8,1,7,8,1,-1.9,8,1,0,8,1
1991,2,-9.6,8,1,2,8,1,-7.8,8,1,2,8,1,-6.7,8,1,1,8,1,-16.0,8,1,13,8,1,-5.1,5,1,2,8,1
1991,3,-3.2,8,1,0,8,1,-4.0,8,1,0,8,1,-2.3,5,1,0,8,1,-7.4,8,1,6,8,1,-2.3,5,1,0,5,1
1991,11,1.3,8,1,0,8,1,-1.6,8,1,0,8,1,2.2,5,1,0,8,1,-4.7,8,1,0,8,1,1.7,8,1,0,8,1
1991,12,-2.1,8,1,0,8,1,-5.1,8,1,1,8,1,-0.8,8,1,0,8,1,-9.3,8,1,13,8,1,-1.2,8,1,0,8,1
1992,1,-2.3,8,1,0,8,1,-5.5,8,1,0,8,1,-2.2,8,1,0,8,1,-11.3,8,1,11,8,1,-2.5,8,1,1,8,1
1992,2,-3.6,8,1,0,8,1,-6.8,8,1,0,8,1,-2.5,8,1,0,8,1,-12.3,8,1,12,8,1,-2.9,8,1,0,8,1
1992,3,-1.8,8,1,0,8,1,-3.4,8,1,0,8,1,-2.3,8,1,0,8,1,-8.0,8,1,4,8,1,-1.2,5,1,0,8,1
1992,11,-1.2,8,1,0,8,1,-2.1,8,1,0,8,1,0.2,8,1,0,8,1,-5.9,8,1,1,8,1,-1.4,8,1,0,8,1
1992,12,-1.6,8,1,0,8,1,-5.1,8,1,1,8,1,-1.3,8,1,0,8,1,-7.6,8,1,4,8,1,-1.6,8,1,0,8,1
1993,1,-2.1,8,1,0,8,1,-5.1,8,1,0,8,1,-1.0,8,1,0,8,1,-11.6,8,1,9,8,1,-1.5,8,1,0,8,1
1993,2,-1.9,8,1,0,8,1,-4.1,8,1,0,8,1,-0.9,8,1,0,8,1,-9.4,8,1,11,8,1,-1.7,8,1,0,8,1
1993,3,-1.0,8,1,0,8,1,-3.3,8,1,0,8,1,-1.1,8,1,0,8,1,-6.8,8,1,1,8,1,-0.6,5,1,0,8,1
1993,11,0.9,8,1,0,8,1,-0.7,8,1,0,8,1,1.3,5,1,0,8,1,-2.8,8,1,0,8,1,1.7,8,1,0,8,1
1993,12,-2.5,8,1,0,8,1,-4.9,8,1,0,8,1,-1.7,8,1,0,8,1,-9.4,8,1,6,8,1,-2.9,8,1,0,8,1
1994,1,-5.9,8,1,0,8,1,-8.0,8,1,1,8,1,-6.5,8,1,1,8,1,-14.0,8,1,23,8,1,-3.3,8,1,2,8,1
